Tilte,Link
Satellite imagery reveals ongoing work at Iranian nuclear site bombed by US,https://www.cnn.com//2025/06/30/middleeast/satellite-imagery-iranian-nuclear-site-latam-intl
AnalysisIran’s supreme leader faces unprecedented pressure and dwindling options,https://www.cnn.com//2025/06/30/middleeast/iran-supreme-leader-ayatollah-ali-khamenei-choices-intl
Lillian Suwanrumpha/AFP/AGetty Images,https://www.cnn.com//2025/07/01/asia/thailand-pm-paetongtarn-suspended-intl-hnk
Thailand’s prime minister suspended over leaked phone call with former strongman,https://www.cnn.com//2025/07/01/asia/thailand-pm-paetongtarn-suspended-intl-hnk
US Senate working overnight in marathon voting session for Trump’s megabillShow all,https://www.cnn.com//2025/06/30/politics/senate-gop-trump-agenda-bill-vote
Kent Nishimura/Bloomberg/Getty Images,https://www.cnn.com//2025/06/30/politics/senate-gop-trump-agenda-bill-vote
The hourslong series of votes is still going with no end in sight,https://www.cnn.com//2025/06/30/politics/senate-gop-trump-agenda-bill-vote
•Watch liveWatch liveWatch liveSenators continue vote-a-rama as 24-hour mark approaches,https://www.cnn.com/live-video-1
"Elon Musk just made his starkest political threat since the electionAfter declaring he was stepping away from the political spotlight, Elon Musk got right back in it.",https://www.cnn.com//2025/06/30/media/elon-musk-bill-primary-threat
•Video1:40Video‘Musk is right about this’: Elizabeth Warren shocked to find agreement with Musk over megabill1:40CNN’s Kaitlan Collins talks with Sen. Elizabeth Warren (D-MA) about finding surprising common cause with Elon Musk over their shared objections to President Trump’s megabill.,https://www.cnn.com//2025/06/30/politics/video/elon-musk-elizabeth-warren-src-digvid
CNN,https://www.cnn.com/
VideoCatch up on today’s news,https://www.cnn.com//videos/fast/cnni-fast
Bill & Brigitte Clough/Design Pics Editorial/Universal Images Group/Getty Images,https://www.cnn.com//2025/06/30/business/trump-japan-rice-tariffs
"Trump threatens Japan with new tariffs, claiming it won’t buy America’s rice",https://www.cnn.com//2025/06/30/business/trump-japan-rice-tariffs
AnalysisTrump’s ‘Alligator Alcatraz’ photo-op is yet another political stunt,https://www.cnn.com//2025/07/01/politics/alligator-alcatraz-trump-florida
Trump says he has a TikTok buyer. Here are the players who have been vying to buy the app,https://www.cnn.com//2025/06/30/tech/trump-tiktok-who-could-buy
"VideoBillionaires, militias & mineral rights: Inside Trump’s new peace deal5:37",https://www.cnn.com//2025/06/30/world/video/the-lead-larry-madowo-president-trump-peace-deal-congo-rwanda-jake-tapper
Antoine Boureau/Hans Lucas/AFP/Getty Images,https://www.cnn.com//2025/07/01/travel/france-smoking-ban-beaches-parks-intl
Country long synonymous with cigarette culture sees sweeping new smoking restrictions,https://www.cnn.com//2025/07/01/travel/france-smoking-ban-beaches-parks-intl
Four cartoonists detained in Turkey over image authorities say depicts the Prophet Mohammed,https://www.cnn.com//2025/06/30/europe/turkey-arrests-cartoonists-mohammed-protests-latam-intl
"VideoMore than 50,000 people evacuated as wildfires rage in Turkey0:46",https://www.cnn.com//2025/07/01/world/video/turkey-wildfires-evacuations-digvid
Hundreds of children told to test for disease in Australia after childcare worker charged with child sex abuse,https://www.cnn.com//2025/07/01/australia/australia-childcare-worker-charged-intl-hnk
Firefighters killed and injured in Sunday’s attack had nearly 70 years combined experience. Here’s what we know,https://www.cnn.com//2025/07/01/us/idaho-shooting-victims-firefighters
Regula Tschumi,https://www.cnn.com//style/ghana-funerals-coffin-dancers-regula-tschumi
A photographer spent decades trying to learn the secret arts of Ghanaian funerals. This is what she found,https://www.cnn.com//style/ghana-funerals-coffin-dancers-regula-tschumi
Anthony Ghnassia/Getty Images,https://www.cnn.com//2025/07/01/style/paris-fashion-week-menswear-ss26
"Dior’s next chapter, zoot suits and a Wes Anderson easter egg: What we saw at the Paris Fashion Week mens’ shows",https://www.cnn.com//2025/07/01/style/paris-fashion-week-menswear-ss26
Edward Burtynsky,https://www.cnn.com//2025/06/30/style/edward-burtynsky-china-africa-snap
Photographer documents how a Chinese carmaker is outselling Tesla,https://www.cnn.com//2025/06/30/style/edward-burtynsky-china-africa-snap
Max Mumby/Indigo/Getty Images,https://www.cnn.com//2025/06/30/europe/uk-royal-family-sovereign-grant-latam-intl
"British monarchy will receive around $118 million in government funding, report showsJun 30, 2025",https://www.cnn.com//2025/06/30/europe/uk-royal-family-sovereign-grant-latam-intl
Yui Mok/PA/Getty Images,https://www.cnn.com//2025/06/30/uk/bob-vylan-uk-band-glastonbury-us-visa-intl-latam
"US revokes visas of British rap punk duo Bob Vylan after controversial Glastonbury setJun 30, 2025",https://www.cnn.com//2025/06/30/uk/bob-vylan-uk-band-glastonbury-us-visa-intl-latam
Getty Images/Cornell University/Tad Donovan/NYSDED/Moosewood Restaurant,https://www.cnn.com//travel/ithaca-new-york-best-towns-america-2025
"Our top pick for the best town in America to visit2:33Jun 26, 2025",https://www.cnn.com//travel/ithaca-new-york-best-towns-america-2025
Pool/Getty Images,https://www.cnn.com//2025/07/01/us/bryan-kohberger-trial-plea-deal-victims-families-hnk
A plea deal is set to end the yearslong case against Bryan Kohberger. The family of one of his alleged victims is furious,https://www.cnn.com//2025/07/01/us/bryan-kohberger-trial-plea-deal-victims-families-hnk
US District Court District of Massachusetts,https://www.cnn.com//2025/06/30/politics/fbi-laptop-north-korea
"FBI arrests one man, searches laptops in 16 states in crackdown on North Korean  tech-worker scheme",https://www.cnn.com//2025/06/30/politics/fbi-laptop-north-korea
Alex Cherney/CSIRO,https://www.cnn.com//2025/06/30/science/satellite-strange-radio-signal-relay-2
"Satellite that’s been dead since 1967 emits radio signal, puzzling astronomers",https://www.cnn.com//2025/06/30/science/satellite-strange-radio-signal-relay-2
•Video3:12Getty Images,https://www.cnn.com//2025/06/30/entertainment/video/diddy-trial-deliberations-first-day-note-digvid
VideoHow judge in Sean ‘Diddy’ Combs trial responded to note sent about juror #253:12,https://www.cnn.com//2025/06/30/entertainment/video/diddy-trial-deliberations-first-day-note-digvid
Stephen Dunn/Getty Images,https://www.cnn.com//2025/07/01/sport/bobby-bonilla-day-new-york-mets-mlb-spt
He hasn’t played in MLB for more than two decades. One team is paying him $1.2 million a year until 2035,https://www.cnn.com//2025/07/01/sport/bobby-bonilla-day-new-york-mets-mlb-spt
Stephen R. Sylvanie/USA TODAY Sports/Reuters,https://www.cnn.com//2025/07/01/sport/ben-askren-double-lung-transplant-ufc-spt
Former UFC fighter Ben Askren recovering from double lung transplant after ‘sudden’ bout of pneumonia,https://www.cnn.com//2025/07/01/sport/ben-askren-double-lung-transplant-ufc-spt
Kin Cheung/AP,https://www.cnn.com//2025/06/30/sport/wimbledon-record-temperature-tennis-spt-intl
Record heat at Wimbledon has players and fans trying to keep their cool amid scorching conditions,https://www.cnn.com//2025/06/30/sport/wimbledon-record-temperature-tennis-spt-intl
Michael M. Santiago/Getty Images,https://www.cnn.com//2025/07/01/politics/mamdani-new-york-ranked-choice-voting
Mamdani could clinch Democratic primary when New York City releases ranked-choice results,https://www.cnn.com//2025/07/01/politics/mamdani-new-york-ranked-choice-voting
Giorgio Viera/AFP/Getty Images,https://www.cnn.com//2025/07/01/us/what-is-alligator-alcatraz-florida
‘Alligator Alcatraz’: What to know about Florida’s new controversial migrant detention facility,https://www.cnn.com//2025/07/01/us/what-is-alligator-alcatraz-florida
FilippoBacci/E+/Getty Images/File,https://www.cnn.com//2025/06/30/health/how-to-make-friends-tips-wellness
Having friends can help you live longer. Here’s how to find them,https://www.cnn.com//2025/06/30/health/how-to-make-friends-tips-wellness
•Video0:58Trump Fragrances,https://www.cnn.com//2025/07/01/politics/video/trump-fragrances-gold-statue-nn-digvid
VideoTrump’s new product comes with a gold statue of him0:58,https://www.cnn.com//2025/07/01/politics/video/trump-fragrances-gold-statue-nn-digvid
Alex Cherney/CSIRO,https://www.cnn.com//2025/06/30/science/satellite-strange-radio-signal-relay-2
"Long-dead satellite emits strong radio signal, puzzling astronomers",https://www.cnn.com//2025/06/30/science/satellite-strange-radio-signal-relay-2
Scientists say they have identified Earth’s oldest rocks. It could reveal an unknown chapter in our planet’s history,https://www.cnn.com//2025/06/27/science/oldest-earth-rock-discovery-canada-debate
99 million-year-old amber preserved ancient fly with zombie fungus bursting from its head,https://www.cnn.com//2025/06/24/science/amber-insect-zombie-fungi-fossil
Lost underwater forests are returning to Sydney’s coastline,https://www.cnn.com//science/australia-operation-crayweed-c2e-spc
Global TravelShow all,https://www.cnn.com/travel
CNN,https://www.cnn.com//travel/trevi-fountain-romance-chance-encounters
She threw three coins in the Trevi Fountain and immediately met the man she would marry,https://www.cnn.com//travel/trevi-fountain-romance-chance-encounters
She left her home in California to live on a cruise ship for 15 years,https://www.cnn.com//2025/06/26/travel/villa-vie-odyssey-cruise-ship-15-years
"Rare event breathes life back into Australia’s arid outback, attracting both animals and tourists",https://www.cnn.com//2025/06/25/travel/australia-outback-flooding-kati-thanda-lake-eyre-intl-hnk
London has leaned into Jack the Ripper tourism. The locals don’t like it,https://www.cnn.com//2025/06/21/travel/jack-the-ripper-dark-tourism-london
CFOTO/Future Publishing/Getty Images,https://www.cnn.com//2025/06/30/food/luckin-coffee-first-usa-location
"Watch out, Starbucks: China’s biggest coffee chain opens its first US locations",https://www.cnn.com//2025/06/30/food/luckin-coffee-first-usa-location
Trump and Paramount say they’re in ‘advanced’ settlement talks over ‘60 Minutes’ edit,https://www.cnn.com//2025/06/30/media/paramount-trump-settlement-talks
Trump Media’s stock has plunged by nearly half since the election. Now it’s taking action,https://www.cnn.com//2025/06/26/business/trump-media-stock-truth-social
Opulence has been on full display for the lavish wedding of Jeff Bezos and Lauren Sanchez,https://www.cnn.com//2025/06/28/business/wedding-guests-bezos-sanchez-venice
Marco Bertorello/AFP/Getty Images,https://www.cnn.com//2025/06/27/style/jeff-bezos-lauren-sanchez-wedding
Jeff Bezos and Lauren Sanchez wrap up three-day Venice wedding extravaganza,https://www.cnn.com//2025/06/27/style/jeff-bezos-lauren-sanchez-wedding
"Amid the AIDS crisis, this photographer documented a sunlit haven for gay men",https://www.cnn.com//2025/06/29/style/doug-ischar-photography-snap
The story behind Lauren Sanchez’s wedding gown,https://www.cnn.com//2025/06/27/style/lauren-sanchez-dress-jeff-bezos-wedding
Remember Anna Wintour’s shocking first Vogue cover?,https://www.cnn.com//2025/06/27/style/anna-wintour-first-vogue-cover
"Princess Diana’s ‘caring dress’ fetches over $500,000 in largest auction of late royal’s fashion",https://www.cnn.com//2025/06/10/style/princess-diana-fashion-auction-juliens
SPORTShow all,https://www.cnn.com/sport
Stephen R. Sylvanie/USA TODAY Sports/Reuters,https://www.cnn.com//2025/07/01/sport/ben-askren-double-lung-transplant-ufc-spt
Former UFC fighter Ben Askren recovering from double lung transplant after ‘sudden’ bout of pneumonia,https://www.cnn.com//2025/07/01/sport/ben-askren-double-lung-transplant-ufc-spt
"‘Forget about the baseball stuff, just get healthy’: Angels manager Ron Washington to miss season, unspecified issue",https://www.cnn.com//2025/06/28/sport/ron-washington-medical-leave-angels-intl-spt
"With the World Cup in the USA just under a year away, these trans soccer fans are ringing the alarm over the Trump administration’s hostility",https://www.cnn.com//2025/06/27/sport/trans-sports-fans-trump-spt
Faith Ninivaggi/Reuters/File,https://www.cnn.com//2025/06/30/politics/harvard-trump-administration-civil-rights-act
Trump administration threatens Harvard with further loss of federal resources,https://www.cnn.com//2025/06/30/politics/harvard-trump-administration-civil-rights-act
AnalysisThe key idea of American government is falling out of whack,https://www.cnn.com//2025/06/28/politics/supreme-court-separation-of-powers-trump
House committee subpoenas Pfizer executive in probe of alleged Covid vaccine delay,https://www.cnn.com//2025/06/30/politics/pfizer-covid-vaccine-philip-dormitzer
Why Andrew Cuomo’s mayoral campaign flopped,https://www.cnn.com//2025/06/29/politics/andrew-cuomo-new-york-mayor-zohran-mamdani
Republican plans to overhaul Medicaid are already shaking up the 2026 midterms,https://www.cnn.com//2025/06/28/politics/republican-plans-to-overhaul-medicaid-already-shaking-up-2026-midterms
Flavia Morlachetti/Moment RF/Getty Images,https://www.cnn.com//2025/06/27/health/chef-secrets-reduce-food-waste-wellness
We asked 6 chefs for their secrets to reduce food waste — and we’re stealing their tips ASAP,https://www.cnn.com//2025/06/27/health/chef-secrets-reduce-food-waste-wellness
"Instead of worrying about your weight, focus on avoiding fragility",https://www.cnn.com//2025/06/20/health/strength-mobility-questions-answered-wellness
Discipline is overrated. Here’s what people are doing instead,https://www.cnn.com//2025/06/26/health/devotion-discipline-habit-building-wellness
"By cutting dyes from your diet, you’re getting another important built-in benefit",https://www.cnn.com//2025/06/26/health/food-dyes-maha-ultraprocessed-foods-wellness
Allison Joyce/Bloomberg/Getty Images,https://www.cnn.com//2025/06/26/tech/ai-moratorium-agenda-bill-north-carolina-attorney-general-jeff-jackson
State regulator: Proposed 10-year moratorium on AI law enforcement is ‘extremely disconcerting’,https://www.cnn.com//2025/06/26/tech/ai-moratorium-agenda-bill-north-carolina-attorney-general-jeff-jackson
Denmark plans to thwart deepfakers by giving everyone copyright over their own features,https://www.cnn.com//2025/06/27/business/denmark-ai-law-scli-intl
"What is Perplexity, the AI startup said to be catching Meta and Apple’s attention",https://www.cnn.com//2025/06/24/tech/perplexity-ai-search-engine-meta-apple
Do you think AI is changing or threatening to take your job? Tell us about it here,https://www.cnn.com//2025/06/23/tech/ai-impact-on-jobs-callout
•GalleryGallery@laurensanchezbezos/Instagram/Reuters,https://www.cnn.com//2025/06/25/style/gallery/venice-wedding-jeff-bezos-lauren-sanchez
GalleryIn pictures: Lauren Sanchez and Jeff Bezos’ Venetian wedding,https://www.cnn.com//2025/06/25/style/gallery/venice-wedding-jeff-bezos-lauren-sanchez
•GalleryGalleryMatthew Stockman/Allsport/Getty Images,https://www.cnn.com//2025/01/13/world/gallery/people-we-lost-2025
GalleryPeople we’ve lost in 2025,https://www.cnn.com//2025/01/13/world/gallery/people-we-lost-2025
•GalleryGalleryRoyce L. Bair/DarkSky International,https://www.cnn.com//science/gallery/dark-skies-light-pollution-c2e
GalleryProtecting our night skies from light pollution,https://www.cnn.com//science/gallery/dark-skies-light-pollution-c2e
•GalleryGalleryLorenzo Poli,https://www.cnn.com//travel/gallery/earth-photo-2025-c2e-spc
GalleryHaunting image of an abandoned mining town wins Earth Photo prize,https://www.cnn.com//travel/gallery/earth-photo-2025-c2e-spc
•GalleryGalleryDendrinos/MOm,https://www.cnn.com//science/gallery/mediterranean-monk-seal-photos-c2e-spc
GalleryMediterranean monk seals: Back from the brink,https://www.cnn.com//science/gallery/mediterranean-monk-seal-photos-c2e-spc
•GalleryGalleryLuiz Thiago de Jesus/AMLD,https://www.cnn.com//science/gallery/golden-lion-tamarin-photos-c2e-spc
GalleryBack from the brink: Golden lion tamarin,https://www.cnn.com//science/gallery/golden-lion-tamarin-photos-c2e-spc
"Reuters, Getty Images, AP",https://www.cnn.com//2025/06/28/europe/budapest-pride-intl
Budapest crowds defy Hungarian anti-LGBTQ+ law,https://www.cnn.com//2025/06/28/europe/budapest-pride-intl
"AnalysisProphecy, not politics, may also shape America’s clash with Iran",https://www.cnn.com//2025/06/29/us/iran-israel-evangelicals-prophecy-cec
Ukraine loses an F-16 pilot and his jet while fighting one of Russia’s biggest ever aerial attacks,https://www.cnn.com//2025/06/29/europe/ukraine-f-16-pilot-killed-russia
"75 years after he was kidnapped to North Korea, these sisters still hope to see their brother",https://www.cnn.com//2025/06/27/asia/korean-war-family-separated-kidnapping-intl-hnk-dst
"How one couple saved nearly $3,000 a month by moving to Italy",https://www.cnn.com//2025/06/28/travel/travel-news-italian-lifestyle-budget
Friends Reunited: Why it wasn’t just Lionel Messi who faced Paris Saint-Germain at the FIFA Club World Cup,https://www.cnn.com//2025/06/30/sport/lionel-messi-inter-miami-psg-cwc-spt
Lando Norris fends off Oscar Piastri to win thrilling Austrian GP after Max Verstappen crashes out in first lap,https://www.cnn.com//2025/06/29/sport/lando-norris-austrian-grand-prix-spt-intl
Thailand was the first country in Asia to legalize marijuana. Things didn’t go as planned,https://www.cnn.com//2025/06/28/travel/thailand-cannabis-laws-tourism-intl-hnk
Canadian officials press US for details on Canadian citizen who died in ICE custody,https://www.cnn.com//2025/06/26/us/johnny-noviello-ice-death-canada-florida
Settings,https://www.cnn.com//account/settings
Newsletters,https://www.cnn.com//newsletters
Topics you follow,https://www.cnn.com//follow?iid=fw_var-nav
Sign out,#
Live TV,https://edition.cnn.com/live-tv
Listen,https://edition.cnn.com/audio
Watch,https://edition.cnn.com/video
World,https://edition.cnn.com/world
Africa,https://edition.cnn.com/world/africa
Americas,https://edition.cnn.com/world/americas
Asia,https://edition.cnn.com/world/asia
Australia,https://edition.cnn.com/world/australia
China,https://edition.cnn.com/world/china
Europe,https://edition.cnn.com/world/europe
India,https://edition.cnn.com/world/india
Middle East,https://edition.cnn.com/world/middle-east
United Kingdom,https://edition.cnn.com/world/united-kingdom
US Politics,https://edition.cnn.com/politics
Trump,https://edition.cnn.com/politics/president-donald-trump-47
Facts First,https://www.cnn.com/politics/fact-check
CNN Polls,https://edition.cnn.com/polling
2025 Elections,https://www.cnn.com/election/2025
Business,https://edition.cnn.com/business
Tech,https://edition.cnn.com/business/tech
Media,https://edition.cnn.com/business/media
Calculators,https://edition.cnn.com/business/financial-calculators
Videos,https://edition.cnn.com/business/videos
Markets,https://edition.cnn.com/markets
Pre-markets,https://edition.cnn.com/markets/premarkets
After-Hours,https://edition.cnn.com/markets/after-hours
Fear & Greed,https://edition.cnn.com/markets/fear-and-greed
Investing,https://edition.cnn.com/business/investing
Markets Now,https://edition.cnn.com/business/markets-now
Nightcap,https://edition.cnn.com/business/markets/nightcap
Health,https://edition.cnn.com/health
"Life, But Better",https://edition.cnn.com/interactive/life-but-better/
Fitness,https://edition.cnn.com/health/life-but-better/fitness
Food,https://edition.cnn.com/health/life-but-better/food
Sleep,https://edition.cnn.com/health/life-but-better/sleep
Mindfulness,https://edition.cnn.com/health/life-but-better/mindfulness
Relationships,https://edition.cnn.com/health/life-but-better/relationships
Entertainment,https://edition.cnn.com/entertainment
Movies,https://edition.cnn.com/entertainment/movies
Television,https://edition.cnn.com/entertainment/tv-shows
Celebrity,https://edition.cnn.com/entertainment/celebrities
